category,parent_code_name,sources,percent_source,frequency
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15
Conservation Criteria and Indicators,Cultural significance,2,10.52631579,6
Conservation Criteria and Indicators,Ecological resilience (functional),7,36.84210526,9
Conservation Criteria and Indicators,Equity and environmental justice,2,10.52631579,2
Conservation Criteria and Indicators,Habitat intactness (structural),9,47.36842105,19
Conservation Criteria and Indicators,Special status species,7,36.84210526,13
Example Projects,Anti-development project,1,5.263157895,2
Example Projects,Biodiversity preservation project,11,57.89473684,63
Example Projects,Climate adaptation and mitigation,6,31.57894737,13
Example Projects,Fire and fuels management,8,42.10526316,17
Example Projects,Habitat restoration,6,31.57894737,14
Example Projects,Listed species recovery project,6,31.57894737,14
Example Projects,Natural and working lands conservation project,10,52.63157895,32
Example Projects,Recreational benefit project,3,15.78947368,3
Example Projects,Water resources management,11,57.89473684,27
Implementation Barriers,Collaboration barriers,8,42.10526316,28
Implementation Barriers,Development pressures,3,15.78947368,11
Implementation Barriers,Funding deficiencies,14,73.68421053,47
Implementation Barriers,Political barriers,14,73.68421053,71
Implementation Barriers,Resource deficiencies,10,52.63157895,36
Measures of Success,Collaborative partnerships,17,89.47368421,37
Measures of Success,Community oriented success metrics,8,42.10526316,15
Measures of Success,Increased biodiversity,6,31.57894737,10
Measures of Success,Increased project completion efficiency,6,31.57894737,6
Measures of Success,Increased project funding,6,31.57894737,7
Measures of Success,Monitoring and evlauation,2,10.52631579,2
Motivations,Capacity building,3,15.78947368,7
Motivations,Climate resiliency,7,36.84210526,14
Motivations,Ecosystem resilience,3,15.78947368,3
Motivations,Environmental justice,8,42.10526316,12
Motivations,Fostering partnerships,10,52.63157895,20
Motivations,Funding opportunity,4,21.05263158,13
Motivations,Listed species recovery,2,10.52631579,3
Motivations,Meeting community needs,3,15.78947368,8
Motivations,Natural disaster risk reduction,1,5.263157895,2
Motivations,Preserving biodiversity,16,84.21052632,56
Motivations,Private land preservation,11,57.89473684,26
Motivations,Recreational benefit,5,26.31578947,10
Motivations,Regulatory compliance and mitigation,5,26.31578947,10
Motivations,Water resources conservation,1,5.263157895,1
Priority Conservation Areas,Arroyo Hondo Preserve,2,10.52631579,2
Priority Conservation Areas,Cat Canyon,1,5.263157895,1
Priority Conservation Areas,Chumash Marine Sanctuary,2,10.52631579,2
Priority Conservation Areas,Coastal zones,3,15.78947368,4
Priority Conservation Areas,Cuyama Valley,2,10.52631579,2
Priority Conservation Areas,Elkat Canyon Resort,1,5.263157895,1
Priority Conservation Areas,Gaviota Coast,8,42.10526316,14
Priority Conservation Areas,Goleta Coast,1,5.263157895,2
Priority Conservation Areas,Guadalupe-Nipomo Dunes,1,5.263157895,2
Priority Conservation Areas,Hollister Ranch,2,10.52631579,3
Priority Conservation Areas,Jack and Laura Dangermond Preserve,8,42.10526316,12
Priority Conservation Areas,Los Padres National Forest,3,15.78947368,3
Priority Conservation Areas,Point Conception,7,36.84210526,11
Priority Conservation Areas,Point Sal,1,5.263157895,2
Priority Conservation Areas,Purisima Hills,1,5.263157895,1
Priority Conservation Areas,Santa Maria River,2,10.52631579,5
Priority Conservation Areas,Santa Maria Valley,2,10.52631579,2
Priority Conservation Areas,Santa Ynez River,4,21.05263158,4
Priority Conservation Areas,Santa Ynez Valley,1,5.263157895,4
Priority Conservation Areas,Sedgwick Reserve,1,5.263157895,2
Priority Conservation Areas,Sisquoc River Valley,1,5.263157895,1
Priority Conservation Areas,Tajiguas Landfill,1,5.263157895,1
Priority Conservation Areas,Vandenberg Space Force Base,6,31.57894737,7
Priority Conservation Areas,Watersheds,7,36.84210526,17
